Tarix (gün.ay.il);Stansiya;Gündəlik gediş sayı
2026-01-31 00:00:00,000;"Bakmil";58
2026-02-01 00:00:00,000;"Bakmil";54
2026-02-02 00:00:00,000;"Bakmil";204
2026-02-03 00:00:00,000;"Bakmil";176
2026-02-04 00:00:00,000;"Bakmil";142
2026-02-05 00:00:00,000;"Bakmil";167
2026-02-06 00:00:00,000;"Bakmil";183
2026-02-07 00:00:00,000;"Bakmil";64
2026-02-08 00:00:00,000;"Bakmil";56
2026-02-09 00:00:00,000;"Bakmil";170
2026-02-10 00:00:00,000;"Bakmil";185
2026-02-11 00:00:00,000;"Bakmil";125
2026-02-12 00:00:00,000;"Bakmil";159
2026-02-13 00:00:00,000;"Bakmil";157
2026-02-14 00:00:00,000;"Bakmil";93
2026-02-15 00:00:00,000;"Bakmil";34
2026-02-16 00:00:00,000;"Bakmil";160
2026-02-17 00:00:00,000;"Bakmil";180
2026-02-18 00:00:00,000;"Bakmil";205
2026-02-19 00:00:00,000;"Bakmil";167
2026-02-20 00:00:00,000;"Bakmil";178
2026-02-21 00:00:00,000;"Bakmil";51
2026-02-22 00:00:00,000;"Bakmil";45
2026-02-23 00:00:00,000;"Bakmil";164
2026-02-24 00:00:00,000;"Bakmil";216
2026-02-25 00:00:00,000;"Bakmil";187
2026-02-26 00:00:00,000;"Bakmil";233
2026-02-27 00:00:00,000;"Bakmil";291
2026-02-28 00:00:00,000;"Bakmil";52
2026-01-01 00:00:00,000;"Darnagul";789
2026-01-01 00:00:00,000;"Darnagul";194
2026-01-01 00:00:00,000;"Darnagul";280
2026-01-02 00:00:00,000;"Darnagul";832
2026-01-02 00:00:00,000;"Darnagul";158
2026-01-02 00:00:00,000;"Darnagul";288
2026-01-03 00:00:00,000;"Darnagul";1233
2026-01-03 00:00:00,000;"Darnagul";228
2026-01-03 00:00:00,000;"Darnagul";399
2026-01-04 00:00:00,000;"Darnagul";1142
2026-01-04 00:00:00,000;"Darnagul";224
2026-01-04 00:00:00,000;"Darnagul";395
2026-01-05 00:00:00,000;"Darnagul";2368
2026-01-05 00:00:00,000;"Darnagul";542
2026-01-05 00:00:00,000;"Darnagul";922
2026-01-06 00:00:00,000;"Darnagul";2578
2026-01-06 00:00:00,000;"Darnagul";526
2026-01-06 00:00:00,000;"Darnagul";990
2026-01-07 00:00:00,000;"Darnagul";985
2026-01-07 00:00:00,000;"Darnagul";530
2026-01-07 00:00:00,000;"Darnagul";2567
2026-01-08 00:00:00,000;"Darnagul";2515
2026-01-08 00:00:00,000;"Darnagul";1001
2026-01-08 00:00:00,000;"Darnagul";541
2026-01-09 00:00:00,000;"Darnagul";2606
2026-01-09 00:00:00,000;"Darnagul";552
2026-01-09 00:00:00,000;"Darnagul";1025
2026-01-10 00:00:00,000;"Darnagul";1850
2026-01-10 00:00:00,000;"Darnagul";365
2026-01-10 00:00:00,000;"Darnagul";674
2026-01-11 00:00:00,000;"Darnagul";1236
2026-01-11 00:00:00,000;"Darnagul";240
2026-01-11 00:00:00,000;"Darnagul";517
2026-01-12 00:00:00,000;"Darnagul";2610
2026-01-12 00:00:00,000;"Darnagul";482
2026-01-12 00:00:00,000;"Darnagul";894
2026-01-13 00:00:00,000;"Darnagul";2518
2026-01-13 00:00:00,000;"Darnagul";474
2026-01-14 00:00:00,000;"Darnagul";2306
2026-01-14 00:00:00,000;"Darnagul";440
2026-01-14 00:00:00,000;"Darnagul";2261
2026-01-15 00:00:00,000;"Darnagul";2575
2026-01-15 00:00:00,000;"Darnagul";646
2026-01-15 00:00:00,000;"Darnagul";1111
2026-01-16 00:00:00,000;"Darnagul";2632
2026-01-16 00:00:00,000;"Darnagul";556
2026-01-16 00:00:00,000;"Darnagul";1117
2026-01-17 00:00:00,000;"Darnagul";1890
2026-01-17 00:00:00,000;"Darnagul";343
2026-01-17 00:00:00,000;"Darnagul";755
2026-01-18 00:00:00,000;"Darnagul";1058
2026-01-18 00:00:00,000;"Darnagul";186
2026-01-18 00:00:00,000;"Darnagul";475
2026-01-19 00:00:00,000;"Darnagul";2434
2026-01-19 00:00:00,000;"Darnagul";513
2026-01-19 00:00:00,000;"Darnagul";1108
2026-01-20 00:00:00,000;"Darnagul";1402
2026-01-20 00:00:00,000;"Darnagul";216
2026-01-20 00:00:00,000;"Darnagul";566
2026-01-21 00:00:00,000;"Darnagul";2415
2026-01-21 00:00:00,000;"Darnagul";514
2026-01-21 00:00:00,000;"Darnagul";1118
2026-01-22 00:00:00,000;"Darnagul";2463
2026-01-22 00:00:00,000;"Darnagul";469
2026-01-22 00:00:00,000;"Darnagul";1105
2026-01-23 00:00:00,000;"Darnagul";2619
2026-01-23 00:00:00,000;"Darnagul";552
2026-01-23 00:00:00,000;"Darnagul";1204
2026-01-24 00:00:00,000;"Darnagul";1900
2026-01-24 00:00:00,000;"Darnagul";354
2026-01-24 00:00:00,000;"Darnagul";792
2026-01-25 00:00:00,000;"Darnagul";1165
2026-01-25 00:00:00,000;"Darnagul";215
2026-01-25 00:00:00,000;"Darnagul";547
2026-01-26 00:00:00,000;"Darnagul";2347
2026-01-26 00:00:00,000;"Darnagul";463
2026-01-26 00:00:00,000;"Darnagul";1157
2026-01-27 00:00:00,000;"Darnagul";2581
2026-01-27 00:00:00,000;"Darnagul";442
2026-01-27 00:00:00,000;"Darnagul";1277
2026-01-28 00:00:00,000;"Darnagul";2436
2026-01-28 00:00:00,000;"Darnagul";498
2026-01-28 00:00:00,000;"Darnagul";1216
2026-01-29 00:00:00,000;"Darnagul";1144
2026-01-29 00:00:00,000;"Darnagul";2402
2026-01-29 00:00:00,000;"Darnagul";466
2026-01-30 00:00:00,000;"Darnagul";2587
2026-01-30 00:00:00,000;"Darnagul";506
2026-01-30 00:00:00,000;"Darnagul";1300
2026-01-31 00:00:00,000;"Darnagul";1841
2026-01-31 00:00:00,000;"Darnagul";339
2026-01-31 00:00:00,000;"Darnagul";871
2026-02-01 00:00:00,000;"Darnagul";1191
2026-02-01 00:00:00,000;"Darnagul";221
2026-02-01 00:00:00,000;"Darnagul";552
2026-02-02 00:00:00,000;"Darnagul";2323
2026-02-02 00:00:00,000;"Darnagul";452
2026-02-02 00:00:00,000;"Darnagul";1194
2026-02-03 00:00:00,000;"Darnagul";1223
2026-02-03 00:00:00,000;"Darnagul";2433
2026-02-03 00:00:00,000;"Darnagul";456
2026-02-04 00:00:00,000;"Darnagul";346
2026-02-04 00:00:00,000;"Darnagul";1042
2026-02-04 00:00:00,000;"Darnagul";1996
2026-02-05 00:00:00,000;"Darnagul";435
2026-02-05 00:00:00,000;"Darnagul";2151
2026-02-05 00:00:00,000;"Darnagul";1123
2026-02-06 00:00:00,000;"Darnagul";2247
2026-02-06 00:00:00,000;"Darnagul";421
2026-02-06 00:00:00,000;"Darnagul";1218
2026-02-07 00:00:00,000;"Darnagul";914
2026-02-07 00:00:00,000;"Darnagul";1835
2026-02-07 00:00:00,000;"Darnagul";346
2026-02-08 00:00:00,000;"Darnagul";1170
2026-02-08 00:00:00,000;"Darnagul";206
2026-02-08 00:00:00,000;"Darnagul";592
2026-02-09 00:00:00,000;"Darnagul";2367
2026-02-09 00:00:00,000;"Darnagul";456
2026-02-09 00:00:00,000;"Darnagul";1293
2026-02-10 00:00:00,000;"Darnagul";2145
2026-02-10 00:00:00,000;"Darnagul";429
2026-02-10 00:00:00,000;"Darnagul";1100
2026-02-11 00:00:00,000;"Darnagul";1237
2026-02-11 00:00:00,000;"Darnagul";2237
2026-02-11 00:00:00,000;"Darnagul";435
2026-02-12 00:00:00,000;"Darnagul";2346
2026-02-12 00:00:00,000;"Darnagul";452
2026-02-12 00:00:00,000;"Darnagul";1272
2026-02-13 00:00:00,000;"Darnagul";489
2026-02-13 00:00:00,000;"Darnagul";1366
2026-02-13 00:00:00,000;"Darnagul";2387
2026-02-14 00:00:00,000;"Darnagul";1859
2026-02-14 00:00:00,000;"Darnagul";369
2026-02-14 00:00:00,000;"Darnagul";1015
2026-02-15 00:00:00,000;"Darnagul";671
2026-02-15 00:00:00,000;"Darnagul";1197
2026-02-15 00:00:00,000;"Darnagul";268
2026-02-16 00:00:00,000;"Darnagul";1445
2026-02-16 00:00:00,000;"Darnagul";2425
2026-02-16 00:00:00,000;"Darnagul";487
2026-02-17 00:00:00,000;"Darnagul";492
2026-02-17 00:00:00,000;"Darnagul";2495
2026-02-17 00:00:00,000;"Darnagul";1439
2026-02-18 00:00:00,000;"Darnagul";498
2026-02-18 00:00:00,000;"Darnagul";1532
2026-02-18 00:00:00,000;"Darnagul";2509
2026-02-19 00:00:00,000;"Darnagul";2419
2026-02-19 00:00:00,000;"Darnagul";515
2026-02-19 00:00:00,000;"Darnagul";1454
2026-02-20 00:00:00,000;"Darnagul";2468
2026-02-20 00:00:00,000;"Darnagul";501
2026-02-20 00:00:00,000;"Darnagul";1522
2026-02-21 00:00:00,000;"Darnagul";1765
2026-02-21 00:00:00,000;"Darnagul";367
2026-02-21 00:00:00,000;"Darnagul";1027
2026-02-22 00:00:00,000;"Darnagul";673
2026-02-22 00:00:00,000;"Darnagul";1077
2026-02-22 00:00:00,000;"Darnagul";213
2026-02-23 00:00:00,000;"Darnagul";2412
2026-02-23 00:00:00,000;"Darnagul";456
2026-02-23 00:00:00,000;"Darnagul";1498
2026-02-24 00:00:00,000;"Darnagul";482
2026-02-24 00:00:00,000;"Darnagul";2381
2026-02-24 00:00:00,000;"Darnagul";481
2026-02-25 00:00:00,000;"Darnagul";338
2026-02-25 00:00:00,000;"Darnagul";2554
2026-02-25 00:00:00,000;"Darnagul";2379
2026-02-26 00:00:00,000;"Darnagul";538
2026-02-26 00:00:00,000;"Darnagul";1530
2026-02-26 00:00:00,000;"Darnagul";2364
2026-02-27 00:00:00,000;"Darnagul";433
2026-02-27 00:00:00,000;"Darnagul";1563
2026-02-27 00:00:00,000;"Darnagul";2375
2026-02-28 00:00:00,000;"Darnagul";1572
2026-02-28 00:00:00,000;"Darnagul";317
2026-02-28 00:00:00,000;"Darnagul";939
2026-01-01 00:00:00,000;"Darnagul";177
2026-01-02 00:00:00,000;"Darnagul";177
2026-01-03 00:00:00,000;"Darnagul";160
2026-01-04 00:00:00,000;"Darnagul";129
2026-01-05 00:00:00,000;"Darnagul";304
2026-01-06 00:00:00,000;"Darnagul";291
2026-01-07 00:00:00,000;"Darnagul";266
2026-01-08 00:00:00,000;"Darnagul";290
2026-01-09 00:00:00,000;"Darnagul";297
2026-01-10 00:00:00,000;"Darnagul";220
2026-01-11 00:00:00,000;"Darnagul";150
2026-01-12 00:00:00,000;"Darnagul";289
2026-01-13 00:00:00,000;"Darnagul";293
2026-01-14 00:00:00,000;"Darnagul";249
2026-01-15 00:00:00,000;"Darnagul";253
2026-01-16 00:00:00,000;"Darnagul";281
2026-01-17 00:00:00,000;"Darnagul";227
2026-01-18 00:00:00,000;"Darnagul";143
2026-01-19 00:00:00,000;"Darnagul";266
2026-01-20 00:00:00,000;"Darnagul";172
2026-01-21 00:00:00,000;"Darnagul";291
2026-01-22 00:00:00,000;"Darnagul";277
2026-01-23 00:00:00,000;"Darnagul";297
2026-01-24 00:00:00,000;"Darnagul";260
2026-01-25 00:00:00,000;"Darnagul";195
2026-01-26 00:00:00,000;"Darnagul";273
2026-01-27 00:00:00,000;"Darnagul";315
2026-01-28 00:00:00,000;"Darnagul";319
2026-01-29 00:00:00,000;"Darnagul";301
2026-01-30 00:00:00,000;"Darnagul";308
2026-01-31 00:00:00,000;"Darnagul";202
2026-02-01 00:00:00,000;"Darnagul";173
2026-02-02 00:00:00,000;"Darnagul";299
2026-02-03 00:00:00,000;"Darnagul";289
2026-02-04 00:00:00,000;"Darnagul";274
2026-02-05 00:00:00,000;"Darnagul";277
2026-02-06 00:00:00,000;"Darnagul";294
2026-02-07 00:00:00,000;"Darnagul";208
2026-02-08 00:00:00,000;"Darnagul";177
2026-02-09 00:00:00,000;"Darnagul";258
2026-02-10 00:00:00,000;"Darnagul";245
2026-02-11 00:00:00,000;"Darnagul";272
2026-02-12 00:00:00,000;"Darnagul";289
2026-02-13 00:00:00,000;"Darnagul";270
2026-02-14 00:00:00,000;"Darnagul";211
2026-02-15 00:00:00,000;"Darnagul";186
2026-02-16 00:00:00,000;"Darnagul";334
2026-02-17 00:00:00,000;"Darnagul";330
2026-02-18 00:00:00,000;"Darnagul";356
2026-02-19 00:00:00,000;"Darnagul";332
2026-02-20 00:00:00,000;"Darnagul";325
2026-02-21 00:00:00,000;"Darnagul";263
2026-02-22 00:00:00,000;"Darnagul";162
2026-02-23 00:00:00,000;"Darnagul";336
2026-02-24 00:00:00,000;"Darnagul";313
2026-02-25 00:00:00,000;"Darnagul";339
2026-02-26 00:00:00,000;"Darnagul";353
2026-02-27 00:00:00,000;"Darnagul";359
2026-02-28 00:00:00,000;"Darnagul";268
2026-01-01 00:00:00,000;"Elmlar Akademiyasi";5141
2026-01-01 00:00:00,000;"Elmlar Akademiyasi";1176
2026-01-01 00:00:00,000;"Elmlar Akademiyasi";2524
2026-01-02 00:00:00,000;"Elmlar Akademiyasi";5689
2026-01-02 00:00:00,000;"Elmlar Akademiyasi";1355
2026-01-02 00:00:00,000;"Elmlar Akademiyasi";2624
2026-01-03 00:00:00,000;"Elmlar Akademiyasi";8008
2026-01-03 00:00:00,000;"Elmlar Akademiyasi";1850
2026-01-03 00:00:00,000;"Elmlar Akademiyasi";3880
2026-01-04 00:00:00,000;"Elmlar Akademiyasi";1717
2026-01-04 00:00:00,000;"Elmlar Akademiyasi";3580
2026-01-04 00:00:00,000;"Elmlar Akademiyasi";7129
2026-01-05 00:00:00,000;"Elmlar Akademiyasi";22844
2026-01-05 00:00:00,000;"Elmlar Akademiyasi";5477
2026-01-05 00:00:00,000;"Elmlar Akademiyasi";12745
2026-01-06 00:00:00,000;"Elmlar Akademiyasi";22908
2026-01-06 00:00:00,000;"Elmlar Akademiyasi";5166
2026-01-06 00:00:00,000;"Elmlar Akademiyasi";14433
2026-01-07 00:00:00,000;"Elmlar Akademiyasi";12899
2026-01-07 00:00:00,000;"Elmlar Akademiyasi";5472
2026-01-07 00:00:00,000;"Elmlar Akademiyasi";22923
2026-01-08 00:00:00,000;"Elmlar Akademiyasi";22773
2026-01-08 00:00:00,000;"Elmlar Akademiyasi";13416
2026-01-08 00:00:00,000;"Elmlar Akademiyasi";5704
2026-01-09 00:00:00,000;"Elmlar Akademiyasi";23522
2026-01-09 00:00:00,000;"Elmlar Akademiyasi";6013
2026-01-09 00:00:00,000;"Elmlar Akademiyasi";15409
2026-01-10 00:00:00,000;"Elmlar Akademiyasi";12406
2026-01-10 00:00:00,000;"Elmlar Akademiyasi";3130
2026-01-10 00:00:00,000;"Elmlar Akademiyasi";7121
2026-01-11 00:00:00,000;"Elmlar Akademiyasi";8023
2026-01-11 00:00:00,000;"Elmlar Akademiyasi";1948
2026-01-11 00:00:00,000;"Elmlar Akademiyasi";4727
2026-01-12 00:00:00,000;"Elmlar Akademiyasi";23903
2026-01-12 00:00:00,000;"Elmlar Akademiyasi";5266
2026-01-12 00:00:00,000;"Elmlar Akademiyasi";11744
2026-01-13 00:00:00,000;"Elmlar Akademiyasi";22554
2026-01-13 00:00:00,000;"Elmlar Akademiyasi";5127
2026-01-14 00:00:00,000;"Elmlar Akademiyasi";20351
2026-01-14 00:00:00,000;"Elmlar Akademiyasi";4601
2026-01-14 00:00:00,000;"Elmlar Akademiyasi";31106
2026-01-15 00:00:00,000;"Elmlar Akademiyasi";22142
2026-01-15 00:00:00,000;"Elmlar Akademiyasi";5972
2026-01-15 00:00:00,000;"Elmlar Akademiyasi";13890
2026-01-16 00:00:00,000;"Elmlar Akademiyasi";23041
2026-01-16 00:00:00,000;"Elmlar Akademiyasi";5573
2026-01-16 00:00:00,000;"Elmlar Akademiyasi";15663
2026-01-17 00:00:00,000;"Elmlar Akademiyasi";12628
2026-01-17 00:00:00,000;"Elmlar Akademiyasi";2976
2026-01-17 00:00:00,000;"Elmlar Akademiyasi";7653
2026-01-18 00:00:00,000;"Elmlar Akademiyasi";6945
2026-01-18 00:00:00,000;"Elmlar Akademiyasi";1620
2026-01-18 00:00:00,000;"Elmlar Akademiyasi";4506
2026-01-19 00:00:00,000;"Elmlar Akademiyasi";23030
2026-01-19 00:00:00,000;"Elmlar Akademiyasi";5442
2026-01-19 00:00:00,000;"Elmlar Akademiyasi";16111
2026-01-20 00:00:00,000;"Elmlar Akademiyasi";8696
2026-01-20 00:00:00,000;"Elmlar Akademiyasi";1919
2026-01-20 00:00:00,000;"Elmlar Akademiyasi";5533
2026-01-21 00:00:00,000;"Elmlar Akademiyasi";21632
2026-01-21 00:00:00,000;"Elmlar Akademiyasi";4986
2026-01-21 00:00:00,000;"Elmlar Akademiyasi";14913
2026-01-22 00:00:00,000;"Elmlar Akademiyasi";21292
2026-01-22 00:00:00,000;"Elmlar Akademiyasi";5048
2026-01-22 00:00:00,000;"Elmlar Akademiyasi";14826
2026-01-23 00:00:00,000;"Elmlar Akademiyasi";5346
2026-01-23 00:00:00,000;"Elmlar Akademiyasi";16357
2026-01-23 00:00:00,000;"Elmlar Akademiyasi";22324
2026-01-24 00:00:00,000;"Elmlar Akademiyasi";12613
2026-01-24 00:00:00,000;"Elmlar Akademiyasi";2925
2026-01-24 00:00:00,000;"Elmlar Akademiyasi";8098
2026-01-25 00:00:00,000;"Elmlar Akademiyasi";7840
2026-01-25 00:00:00,000;"Elmlar Akademiyasi";1818
2026-01-25 00:00:00,000;"Elmlar Akademiyasi";5252
2026-01-26 00:00:00,000;"Elmlar Akademiyasi";22057
2026-01-26 00:00:00,000;"Elmlar Akademiyasi";4939
2026-01-26 00:00:00,000;"Elmlar Akademiyasi";15509
2026-01-27 00:00:00,000;"Elmlar Akademiyasi";4716
2026-01-27 00:00:00,000;"Elmlar Akademiyasi";21247
2026-01-27 00:00:00,000;"Elmlar Akademiyasi";15327
2026-01-28 00:00:00,000;"Elmlar Akademiyasi";20350
2026-01-28 00:00:00,000;"Elmlar Akademiyasi";4766
2026-01-28 00:00:00,000;"Elmlar Akademiyasi";15020
2026-01-29 00:00:00,000;"Elmlar Akademiyasi";13738
2026-01-29 00:00:00,000;"Elmlar Akademiyasi";4341
2026-01-29 00:00:00,000;"Elmlar Akademiyasi";19691
2026-01-30 00:00:00,000;"Elmlar Akademiyasi";20727
2026-01-30 00:00:00,000;"Elmlar Akademiyasi";4775
2026-01-30 00:00:00,000;"Elmlar Akademiyasi";14951
2026-01-31 00:00:00,000;"Elmlar Akademiyasi";12100
2026-01-31 00:00:00,000;"Elmlar Akademiyasi";2735
2026-01-31 00:00:00,000;"Elmlar Akademiyasi";8550
2026-02-01 00:00:00,000;"Elmlar Akademiyasi";7711
2026-02-01 00:00:00,000;"Elmlar Akademiyasi";1798
2026-02-01 00:00:00,000;"Elmlar Akademiyasi";5616
2026-02-02 00:00:00,000;"Elmlar Akademiyasi";18855
2026-02-02 00:00:00,000;"Elmlar Akademiyasi";4296
2026-02-02 00:00:00,000;"Elmlar Akademiyasi";13424
2026-02-03 00:00:00,000;"Elmlar Akademiyasi";11680
2026-02-03 00:00:00,000;"Elmlar Akademiyasi";16712
2026-02-03 00:00:00,000;"Elmlar Akademiyasi";3887
2026-02-04 00:00:00,000;"Elmlar Akademiyasi";2978
2026-02-04 00:00:00,000;"Elmlar Akademiyasi";9526
2026-02-04 00:00:00,000;"Elmlar Akademiyasi";14561
2026-02-05 00:00:00,000;"Elmlar Akademiyasi";3713
2026-02-05 00:00:00,000;"Elmlar Akademiyasi";16003
2026-02-05 00:00:00,000;"Elmlar Akademiyasi";11512
2026-02-06 00:00:00,000;"Elmlar Akademiyasi";17390
2026-02-06 00:00:00,000;"Elmlar Akademiyasi";4083
2026-02-06 00:00:00,000;"Elmlar Akademiyasi";12284
2026-02-07 00:00:00,000;"Elmlar Akademiyasi";8214
2026-02-07 00:00:00,000;"Elmlar Akademiyasi";10946
2026-02-07 00:00:00,000;"Elmlar Akademiyasi";2568
2026-02-08 00:00:00,000;"Elmlar Akademiyasi";1991
2026-02-08 00:00:00,000;"Elmlar Akademiyasi";6290
2026-02-08 00:00:00,000;"Elmlar Akademiyasi";8111
2026-02-09 00:00:00,000;"Elmlar Akademiyasi";17964
2026-02-09 00:00:00,000;"Elmlar Akademiyasi";4278
2026-02-09 00:00:00,000;"Elmlar Akademiyasi";12918
2026-02-10 00:00:00,000;"Elmlar Akademiyasi";15487
2026-02-10 00:00:00,000;"Elmlar Akademiyasi";3604
2026-02-10 00:00:00,000;"Elmlar Akademiyasi";11236
2026-02-11 00:00:00,000;"Elmlar Akademiyasi";16158
2026-02-11 00:00:00,000;"Elmlar Akademiyasi";11530
2026-02-11 00:00:00,000;"Elmlar Akademiyasi";3746
2026-02-12 00:00:00,000;"Elmlar Akademiyasi";16738
2026-02-12 00:00:00,000;"Elmlar Akademiyasi";3843
2026-02-12 00:00:00,000;"Elmlar Akademiyasi";12047
2026-02-13 00:00:00,000;"Elmlar Akademiyasi";4290
2026-02-13 00:00:00,000;"Elmlar Akademiyasi";13129
2026-02-13 00:00:00,000;"Elmlar Akademiyasi";17698
2026-02-14 00:00:00,000;"Elmlar Akademiyasi";11841
2026-02-14 00:00:00,000;"Elmlar Akademiyasi";2918
2026-02-14 00:00:00,000;"Elmlar Akademiyasi";9208
2026-02-15 00:00:00,000;"Elmlar Akademiyasi";7421
2026-02-15 00:00:00,000;"Elmlar Akademiyasi";8505
2026-02-15 00:00:00,000;"Elmlar Akademiyasi";2249
2026-02-16 00:00:00,000;"Elmlar Akademiyasi";22443
2026-02-16 00:00:00,000;"Elmlar Akademiyasi";25423
2026-02-16 00:00:00,000;"Elmlar Akademiyasi";6214
2026-02-17 00:00:00,000;"Elmlar Akademiyasi";6421
2026-02-17 00:00:00,000;"Elmlar Akademiyasi";25726
2026-02-17 00:00:00,000;"Elmlar Akademiyasi";22578
2026-02-18 00:00:00,000;"Elmlar Akademiyasi";6224
2026-02-18 00:00:00,000;"Elmlar Akademiyasi";22487
2026-02-18 00:00:00,000;"Elmlar Akademiyasi";25636
2026-02-19 00:00:00,000;"Elmlar Akademiyasi";24421
2026-02-19 00:00:00,000;"Elmlar Akademiyasi";5842
2026-02-19 00:00:00,000;"Elmlar Akademiyasi";21915
2026-02-20 00:00:00,000;"Elmlar Akademiyasi";23557
2026-02-20 00:00:00,000;"Elmlar Akademiyasi";5536
2026-02-20 00:00:00,000;"Elmlar Akademiyasi";20554
2026-02-21 00:00:00,000;"Elmlar Akademiyasi";11674
2026-02-21 00:00:00,000;"Elmlar Akademiyasi";2733
2026-02-21 00:00:00,000;"Elmlar Akademiyasi";9374
2026-02-22 00:00:00,000;"Elmlar Akademiyasi";6575
2026-02-22 00:00:00,000;"Elmlar Akademiyasi";1755
2026-02-22 00:00:00,000;"Elmlar Akademiyasi";7560
2026-02-23 00:00:00,000;"Elmlar Akademiyasi";25155
2026-02-23 00:00:00,000;"Elmlar Akademiyasi";5887
2026-02-23 00:00:00,000;"Elmlar Akademiyasi";22679
2026-02-24 00:00:00,000;"Elmlar Akademiyasi";3220
2026-02-24 00:00:00,000;"Elmlar Akademiyasi";24791
2026-02-24 00:00:00,000;"Elmlar Akademiyasi";5799
2026-02-25 00:00:00,000;"Elmlar Akademiyasi";23848
2026-02-25 00:00:00,000;"Elmlar Akademiyasi";4623
2026-02-25 00:00:00,000;"Elmlar Akademiyasi";41724
2026-02-26 00:00:00,000;"Elmlar Akademiyasi";24131
2026-02-26 00:00:00,000;"Elmlar Akademiyasi";6765
2026-02-26 00:00:00,000;"Elmlar Akademiyasi";22166
2026-02-27 00:00:00,000;"Elmlar Akademiyasi";23358
2026-02-27 00:00:00,000;"Elmlar Akademiyasi";5379
2026-02-27 00:00:00,000;"Elmlar Akademiyasi";20743
2026-02-28 00:00:00,000;"Elmlar Akademiyasi";10518
2026-02-28 00:00:00,000;"Elmlar Akademiyasi";2549
2026-02-28 00:00:00,000;"Elmlar Akademiyasi";8941
2026-01-01 00:00:00,000;"Elmlar Akademiyasi";382
2026-01-02 00:00:00,000;"Elmlar Akademiyasi";386
2026-01-03 00:00:00,000;"Elmlar Akademiyasi";467
2026-01-04 00:00:00,000;"Elmlar Akademiyasi";404
2026-01-05 00:00:00,000;"Elmlar Akademiyasi";799
2026-01-06 00:00:00,000;"Elmlar Akademiyasi";805
2026-01-07 00:00:00,000;"Elmlar Akademiyasi";802
2026-01-08 00:00:00,000;"Elmlar Akademiyasi";788
2026-01-09 00:00:00,000;"Elmlar Akademiyasi";823
2026-01-10 00:00:00,000;"Elmlar Akademiyasi";524
2026-01-11 00:00:00,000;"Elmlar Akademiyasi";356
2026-01-12 00:00:00,000;"Elmlar Akademiyasi";805
2026-01-13 00:00:00,000;"Elmlar Akademiyasi";789
2026-01-14 00:00:00,000;"Elmlar Akademiyasi";767
2026-01-15 00:00:00,000;"Elmlar Akademiyasi";737
2026-01-16 00:00:00,000;"Elmlar Akademiyasi";821
2026-01-17 00:00:00,000;"Elmlar Akademiyasi";491
2026-01-18 00:00:00,000;"Elmlar Akademiyasi";359
2026-01-19 00:00:00,000;"Elmlar Akademiyasi";809
2026-01-20 00:00:00,000;"Elmlar Akademiyasi";500
2026-01-21 00:00:00,000;"Elmlar Akademiyasi";777
2026-01-22 00:00:00,000;"Elmlar Akademiyasi";819
2026-01-23 00:00:00,000;"Elmlar Akademiyasi";819
2026-01-24 00:00:00,000;"Elmlar Akademiyasi";526
2026-01-25 00:00:00,000;"Elmlar Akademiyasi";454
2026-01-26 00:00:00,000;"Elmlar Akademiyasi";915
2026-01-27 00:00:00,000;"Elmlar Akademiyasi";892
2026-01-28 00:00:00,000;"Elmlar Akademiyasi";854
2026-01-29 00:00:00,000;"Elmlar Akademiyasi";870
2026-01-30 00:00:00,000;"Elmlar Akademiyasi";852
2026-01-31 00:00:00,000;"Elmlar Akademiyasi";557
2026-02-01 00:00:00,000;"Elmlar Akademiyasi";451
2026-02-02 00:00:00,000;"Elmlar Akademiyasi";832
2026-02-03 00:00:00,000;"Elmlar Akademiyasi";845
2026-02-04 00:00:00,000;"Elmlar Akademiyasi";795
2026-02-05 00:00:00,000;"Elmlar Akademiyasi";798
2026-02-06 00:00:00,000;"Elmlar Akademiyasi";790
2026-02-07 00:00:00,000;"Elmlar Akademiyasi";542
2026-02-08 00:00:00,000;"Elmlar Akademiyasi";430
2026-02-09 00:00:00,000;"Elmlar Akademiyasi";928
2026-02-10 00:00:00,000;"Elmlar Akademiyasi";761
2026-02-11 00:00:00,000;"Elmlar Akademiyasi";834
2026-02-12 00:00:00,000;"Elmlar Akademiyasi";840
2026-02-13 00:00:00,000;"Elmlar Akademiyasi";881
2026-02-14 00:00:00,000;"Elmlar Akademiyasi";570
2026-02-15 00:00:00,000;"Elmlar Akademiyasi";463
2026-02-16 00:00:00,000;"Elmlar Akademiyasi";854
2026-02-17 00:00:00,000;"Elmlar Akademiyasi";815
2026-02-18 00:00:00,000;"Elmlar Akademiyasi";910
2026-02-19 00:00:00,000;"Elmlar Akademiyasi";861
2026-02-20 00:00:00,000;"Elmlar Akademiyasi";873
2026-02-21 00:00:00,000;"Elmlar Akademiyasi";571
2026-02-22 00:00:00,000;"Elmlar Akademiyasi";476
2026-02-23 00:00:00,000;"Elmlar Akademiyasi";843
2026-02-24 00:00:00,000;"Elmlar Akademiyasi";824
2026-02-25 00:00:00,000;"Elmlar Akademiyasi";894
2026-02-26 00:00:00,000;"Elmlar Akademiyasi";894
2026-02-27 00:00:00,000;"Elmlar Akademiyasi";903
2026-02-28 00:00:00,000;"Elmlar Akademiyasi";658
2026-01-01 00:00:00,000;"Ganjlik";11837
2026-01-01 00:00:00,000;"Ganjlik";2967
2026-01-01 00:00:00,000;"Ganjlik";5791
